cob_dt,list_result
01-10-2023,"03,06,07,08,15,23,25,29,32,33,38,44,52,56,59,63,70,71,74,87,88,89,94"
02-10-2023,"00,02,09,11,27,32,35,50,54,59,60,62,63,64,69,73,74,79,81,84,91,99"
03-10-2023,"00,05,15,18,19,23,25,28,30,32,39,46,47,53,55,56,57,63,72,73,99"
04-10-2023,"00,07,11,16,27,28,29,31,36,38,39,49,52,64,65,66,73,77,80,82,86,92,93,94"
05-10-2023,"01,02,03,07,10,14,21,25,27,31,33,37,44,47,56,57,63,74,79,87,91,92,93"
06-10-2023,"02,07,08,09,16,17,20,21,24,27,30,32,41,43,50,51,56,60,64,66,68,70,83,93,94,95"
07-10-2023,"06,10,11,12,13,18,20,26,29,30,35,38,44,47,49,52,56,68,70,73,79,82,83,87"
08-10-2023,"00,02,05,14,18,20,22,34,46,51,60,62,64,66,68,69,71,73,79,81,82,88,89,90,93,96"
09-10-2023,"03,04,11,17,19,25,28,29,30,35,40,45,50,51,56,64,65,68,70,72,76,84,90,92"
10-10-2023,"04,13,18,19,21,22,23,25,27,31,40,49,55,61,63,65,67,74,75,76,77,78,79,92,93,96,98"
11-10-2023,"01,06,11,19,20,22,29,37,38,40,44,49,59,60,65,73,77,78,82,88,89,93,96"
12-10-2023,"02,03,12,20,25,32,33,35,39,46,51,53,57,65,66,71,75,76,80,81,82,84,92,96,98"
13-10-2023,"08,09,17,19,20,24,35,42,44,47,55,59,68,72,76,79,83,84,86,93,94,95,97"
14-10-2023,"00,03,21,24,31,34,38,39,40,48,50,53,54,55,58,59,60,61,79,80,81,86,87"
15-10-2023,"13,24,26,29,32,43,45,50,53,54,55,60,71,72,73,75,77,79,82,86,87,90,93,94,97,99"
16-10-2023,"00,06,13,15,16,19,22,29,31,32,39,40,44,47,50,55,59,65,74,76,77,80,85,96"
17-10-2023,"03,06,07,10,17,25,30,37,47,56,64,67,71,76,78,80,83,88,91,93,94,95"
18-10-2023,"00,04,08,09,17,22,27,28,29,35,39,42,44,48,49,52,56,72,73,74,77,78,88,91,98"
19-10-2023,"03,04,05,06,08,11,12,20,24,26,27,36,42,46,48,59,62,67,72,73,81,84,85,86,95,99"
20-10-2023,"02,03,13,15,16,22,30,37,38,40,41,43,51,59,60,68,70,79,80,82,86,88,89"
21-10-2023,"02,03,06,10,15,17,18,24,27,33,40,43,49,54,55,56,65,67,76,82,84,87,88,93,94"
22-10-2023,"10,11,14,17,18,21,24,25,27,30,32,33,36,40,54,69,75,76,79,82,83,88,92,93,96"
23-10-2023,"00,02,04,08,10,11,16,17,19,25,27,35,36,41,44,46,49,60,61,62,81,83,88,90,91"
24-10-2023,"08,09,16,18,22,26,29,32,40,43,45,51,55,57,59,62,65,73,76,83,87,88,98"
25-10-2023,"16,18,19,20,32,36,42,46,47,49,52,53,54,62,71,73,74,79,80,83,85,93"
26-10-2023,"00,06,10,11,19,23,27,33,38,43,49,52,54,68,72,76,79,81,82,84,88,94,95"
27-10-2023,"02,07,08,09,11,13,14,20,23,36,41,48,49,50,55,60,67,72,73,82,90,95,98"
28-10-2023,"08,14,25,28,37,55,56,57,58,59,63,65,69,72,73,74,77,83,89,93,97,98"
29-10-2023,"12,20,21,22,24,26,27,40,43,48,50,53,54,61,67,68,73,74,75,84,93,96,97,98"
30-10-2023,"01,03,09,18,19,22,23,36,43,44,45,49,50,53,56,74,75,81,83,84,86,87,99"
31-10-2023,"06,07,08,09,11,12,13,14,22,25,36,40,41,53,54,63,65,67,70,72,76,82,94,97,98,99"
01-11-2023,"00,05,16,20,24,30,35,36,39,43,48,49,53,55,61,65,77,86,89,91,94,97,98,99"
02-11-2023,"06,11,12,14,21,22,25,26,27,29,35,40,45,46,52,68,69,76,77,78,79,83,84,85,90"
03-11-2023,"08,10,24,25,30,31,32,35,36,39,43,44,50,52,53,55,56,61,62,69,79,87,88,92,93"
04-11-2023,"01,04,06,07,08,20,28,29,35,44,51,55,58,71,72,75,77,78,80,85,86,87,99"
05-11-2023,"02,15,28,29,33,44,45,47,52,57,64,70,72,77,82,83,84,85,90,96,98"
06-11-2023,"01,05,07,12,14,19,22,30,38,41,44,46,48,52,59,66,69,82,84,88,91,94,95,96,99"
07-11-2023,"03,04,05,10,13,18,24,26,27,28,42,43,45,48,49,58,70,71,72,73,77,87,90,93,96"
08-11-2023,"04,10,13,15,20,23,24,26,27,29,33,40,52,56,60,67,69,70,71,79,82,88,89,91,93,95"
09-11-2023,"08,09,15,22,37,40,43,44,45,47,49,50,54,57,61,62,92,96,97"
10-11-2023,"02,08,10,17,21,28,35,40,41,43,44,48,57,62,64,70,73,74,76,78,81,83,87,92,97"
11-11-2023,"13,17,24,31,33,35,37,41,46,47,54,55,57,60,66,70,77,80,82,91,94,96,99"
12-11-2023,"03,04,05,10,11,16,19,27,28,29,30,31,35,36,42,53,58,62,64,69,74,75,79,87,90,97"
13-11-2023,"03,05,06,10,11,12,19,30,31,35,43,44,46,48,49,64,67,68,72,76,78,90,93,94,95,99"
14-11-2023,"00,02,07,10,14,36,39,41,43,48,49,52,53,55,57,66,69,75,87,92,97,98"
15-11-2023,"07,15,18,23,24,30,32,43,47,48,52,54,55,56,59,62,71,72,74,79,83,85,96,98"
16-11-2023,"04,09,10,15,19,20,21,25,29,36,44,56,59,63,64,65,69,73,77,79,80,83,96"
17-11-2023,"01,04,10,17,26,30,35,38,44,45,46,47,48,52,57,62,66,68,79,81,82,91,92,95,96"
18-11-2023,"03,12,13,14,26,34,41,49,52,55,58,59,62,68,70,71,73,82,84,89,90,94,96,97"
19-11-2023,"19,23,24,28,29,31,32,33,36,38,43,54,62,64,66,80,83,89,90,92,94,97,98"
20-11-2023,"01,05,18,21,25,28,32,34,36,49,50,60,67,69,71,72,81,82,86,88,89,91,92,93,99"
21-11-2023,"01,07,13,16,23,26,27,29,32,42,45,46,48,55,63,65,66,70,75,79,85,89,99"
22-11-2023,"00,02,06,08,11,14,18,22,26,28,32,48,50,52,53,56,61,62,64,70,72,73,86,95,98"
23-11-2023,"01,10,12,14,16,21,24,29,31,45,51,56,58,62,63,66,68,73,75,77,97,99"
24-11-2023,"03,09,10,11,20,27,32,36,40,44,52,53,58,60,61,62,63,64,72,74,76,80,81,86,90,91"
25-11-2023,"04,06,07,08,10,12,14,15,16,18,24,26,31,33,44,50,53,60,63,65,68,69,73,79,91,97"
26-11-2023,"02,06,07,12,17,20,23,43,45,52,53,57,60,67,68,73,82,84,86,88,96,99"
27-11-2023,"00,03,10,17,18,27,36,37,46,47,54,57,59,70,72,77,78,79,81,86,91,92"
28-11-2023,"01,02,03,06,07,09,10,12,13,15,18,28,30,32,36,39,48,54,70,71,82,83,99"
